059. Save the Last Dance for Me (Eb) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,59
061. Sailing Down the Chesapeake Bay (F) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,61
063. I'm Sitting on Top of the World (F) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,63
064. All By Myself (C) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,64
065. Swanee (F) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,65
067. Blue Bayou (Bb) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,67
068. Who's Sorry Now (Bb) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,68
069. Somebody Else is Taking My Place (C) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,69
070. April Showers (G) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,70
071. Drifting and Dreaming (G) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,71
072. Mister Sandman (Bb) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,72
073. Avalon (F) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,73
074. Pennsylvania Polka (F&Bb) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,74
075. Shine (C) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,75
076. Sheik of Araby (Bb) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,76
077. Tennessee Waltz (C) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,77
078. Rocky Top (D) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,78
079. Under the Double Eagle (C&F) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,79
080. Sentimental Me (Bb) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,80
081. Washington and Lee Swing (C&F) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,81
083. Bill Bailey (F) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,83
084. Bourbon Street Parade (F) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,84
085. Red Roses for a Blue Lady (C) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,85
086. I Get the Blues When it Rains (F) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,86
087. On the Road Again (G) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,87
088. Ma! (He's Making Eyes At Me) (C) [Lyrics][GCBS-Song-Book],GCBS-Song-Book.pdf,88
